Player,Team,DYAR Rank,DYAR,YAR Rank,YAR,DVOA Rank,DVOA,VOA Rank,VOA,QBR Rank,QBR,Pass,Yards,EYds Rank,EYds,TD,FK,FL,INT,C%,DPI,ALEX Rank,ALEX
P. Manning,DEN,1,2475,1,2674,1,43.2%,1,47.5%,2,79.0,679,5347,1,7040,55,3,5,10,68.5%,12/176,8,2.0
P.  Rivers,SD,2,1799,2,1884,3,34.8%,4,37.0%,3,75.1,575,4363,3,5599,32,1,2,11,69.6%,13/197,2,2.9
D. Brees,NO,3,1701,3,1550,5,26.9%,6,23.6%,6,69.1,687,4906,2,5916,39,3,2,12,68.9%,4/66,21,1.5
M. Ryan,ATL,4,1124,8,825,9,13.3%,15,6.8%,7,67.5,695,4195,4,5228,26,0,4,16,67.8%,10/151,28,0.8
N. Foles,PHI,5,1011,4,1111,2,35.6%,2,40.2%,5,69.5,347,2690,17,3117,27,2,2,2,64.4%,2/55,34,0.0
T. Brady,NE,6,979,6,859,11,10.9%,12,8.2%,12,63.1,665,4065,5,4913,25,4,2,10,61.0%,13/223,19,1.6
T. Romo,DAL,7,839,5,898,10,11.5%,8,13.1%,13,61.9,572,3556,9,4120,31,3,1,9,64.2%,7/81,5,2.3
C. Kaepernick,SF,8,791,13,650,7,16.7%,9,11.7%,8,67.3,456,2969,14,3358,21,1,3,7,58.4%,5/92,27,0.9
R. Wilson,SEA,9,770,12,699,8,15.6%,7,13.2%,9,67.2,453,3070,13,3364,26,5,5,8,64.0%,6/142,15,1.8
A. Rodgers,GB,10,740,11,762,6,25.4%,5,26.4%,14,61.6,310,2413,19,2644,18,3,0,6,66.8%,2/37,3,2.5
B. Roethlisberger,PIT,11,724,10,764,12,6.6%,13,7.6%,16,58.0,621,3981,7,4267,28,1,5,14,64.9%,4/97,25,1.1
M. Stafford,DET,12,690,7,838,15,4.9%,11,8.3%,21,53.5,658,4431,6,4402,29,3,4,19,59.1%,6/64,7,2.1
J. McCown,CHI,13,659,9,773,4,32.1%,3,39.6%,1,82.4,236,1786,26,2124,13,1,1,1,66.7%,1/19,18,1.7
A. Luck,IND,14,650,14,623,16,4.6%,17,3.9%,11,63.8,606,3612,8,4213,23,3,2,9,60.5%,13/238,6,2.2
C.  Palmer,ARI,15,547,19,361,17,2.7%,20,-2.0%,20,54.0,614,3966,11,3922,24,3,3,22,63.8%,13/207,11,2.0
A. Dalton,CIN,16,541,15,612,18,2.3%,16,4.1%,19,54.8,615,4088,10,3976,33,1,3,20,62.2%,6/137,4,2.4
C. Newton,CAR,17,421,20,321,19,1.7%,19,-1.3%,10,64.3,513,3040,15,3198,24,0,1,13,62.1%,6/55,23,1.3
J. Cutler,CHI,18,392,16,423,13,5.5%,14,6.8%,4,70.1,371,2481,23,2437,19,1,3,11,64.1%,2/34,16,1.7
S. Bradford,STL,19,304,18,387,14,5.2%,10,9.7%,17,56.9,277,1602,27,1910,14,1,1,4,60.7%,5/124,13,1.9
A. Smith,KC,20,262,17,416,21,-3.7%,18,0.7%,28,45.0,545,3080,16,3194,23,3,3,7,61.2%,11/122,39,-2.1
R.  Fitzpatrick,TEN,21,179,21,112,20,-3.6%,21,-6.4%,15,58.7,369,2359,25,2147,14,5,2,12,62.5%,1/8,12,1.9
M. Glennon,TB,22,99,28,-73,24,-7.7%,28,-13.7%,18,55.2,459,2260,22,2490,19,2,3,9,59.8%,11/198,37,-0.7
M. Cassel,MIN,23,92,26,-7,22,-5.9%,26,-11.5%,22,52.3,271,1718,31,1539,11,2,1,9,60.2%,2/36,35,0.0
K. Clemens,STL,24,60,32,-133,23,-7.5%,35,-19.1%,29,43.4,262,1526,33,1424,8,3,2,7,58.9%,3/17,10,2.0
R. Tannehill,MIA,25,54,24,22,25,-9.8%,25,-10.6%,25,48.4,643,3508,12,3419,24,3,4,17,60.8%,3/44,30,0.4
M. McGloin,OAK,26,-11,23,62,26,-11.9%,22,-6.7%,27,46.0,219,1495,36,1111,8,3,1,8,55.9%,4/84,1,3.7
