Player,Team,DYAR Rank,DYAR,YAR Rank,YAR,DVOA Rank,DVOA,VOA Rank,VOA,QBR Rank,QBR,Pass,Yards,EYds Rank,EYds,TD,FK,FL,INT,C%,DPI,ALEX Rank,ALEX
T. Brady,TB,1,1892,1,1776,2,26.5%,2,24.2%,2,68.1,739,5172,1,6613,43,1,2,11,67.6%,11/160,17,1.9
A. Rodgers,GB,2,1510,2,1514,1,27.8%,1,27.9%,1,69.1,558,3927,5,5180,37,1,0,4,69.3%,12/167,2,5.1
D. Prescott,DAL,3,1379,3,1377,3,21.2%,3,21.1%,11,54.6,626,4305,4,5316,37,2,3,10,68.8%,13/140,6,3.1
P. Mahomes,KC,4,1368,5,1249,4,18.6%,7,16.0%,5,62.2,686,4665,3,5563,37,3,2,13,66.5%,5/120,8,2.6
J. Herbert,LAC,5,1341,4,1340,6,17.4%,6,17.4%,3,65.6,702,4799,2,5601,38,0,1,15,66.0%,11/155,9,2.5
M. Stafford,LAR,6,1100,6,1230,9,14.6%,5,17.7%,4,63.8,631,4643,6,4938,41,1,2,17,67.2%,6/74,3,4.8
K. Cousins,MIN,7,954,7,934,8,15.0%,9,14.4%,15,52.3,584,4001,9,4245,33,8,2,7,67.2%,6/103,10,2.4
D. Carr,LV,8,915,10,858,11,9.5%,12,8.2%,14,52.4,663,4545,7,4826,23,4,5,14,68.9%,13/324,4,4.1
K. Murray,ARI,9,882,9,865,7,15.6%,8,15.1%,7,57.3,512,3490,11,3837,24,1,0,10,69.4%,7/108,5,3.2
J. Garoppolo,SF,10,854,8,898,5,17.9%,4,19.4%,13,53.3,467,3599,13,3537,20,2,2,12,68.9%,5/72,28,0.2
J. Allen,BUF,11,705,11,769,15,4.9%,15,6.4%,6,60.7,672,4210,8,4488,36,2,1,15,63.5%,8/88,13,2.3
M. Jones,NE,12,620,14,644,13,6.1%,14,6.7%,16,50.9,548,3550,12,3744,22,2,2,13,67.8%,13/141,22,0.8
