Player,Team,DYAR Rank,DYAR,YAR Rank,YAR,DVOA Rank,DVOA,VOA Rank,VOA,QBR Rank,QBR,Pass,Yards,EYds Rank,EYds,TD,FK,FL,INT,C%,DPI,ALEX Rank,ALEX
C.  Palmer,ARI,1,1698,1,1755,1,34.4%,1,36.0%,1,76.4,557,4495,1,5310,35,2,2,11,64.5%,16/253,2,4.3
T. Brady,NE,2,1312,2,1269,5,19.5%,6,18.5%,5,68.4,660,4536,2,5234,36,3,2,7,64.6%,10/233,23,1.1
R. Wilson,SEA,3,1190,4,1159,3,24.3%,3,23.4%,4,68.6,526,3744,7,4311,34,1,2,8,68.7%,2/30,12,2.2
A. Dalton,CIN,4,1135,6,1059,2,31.7%,2,28.9%,3,72.5,409,3103,14,3676,26,2,2,7,66.2%,5/107,14,1.9
B. Roethlisberger,PIT,5,1114,7,1056,4,22.1%,4,20.4%,2,72.8,489,3809,8,4214,21,0,0,16,68.2%,14/297,1,7.1
D. Brees,NO,6,1111,3,1184,7,15.8%,7,17.5%,7,66.8,657,4625,3,4838,32,2,2,11,68.6%,1/37,22,1.1
K. Cousins,WAS,7,1023,5,1125,6,16.9%,5,19.7%,6,67.8,570,3979,6,4329,29,2,3,11,69.8%,6/112,25,0.9
P.  Rivers,SD,8,847,9,780,11,7.8%,11,6.3%,19,57.3,704,4503,4,4755,29,2,2,13,66.5%,8/102,27,0.6
M. Stafford,DET,9,804,12,637,10,8.1%,14,4.1%,16,58.3,637,3979,5,4467,32,1,2,13,67.6%,6/89,33,-0.4
J. Cutler,CHI,10,659,13,556,9,8.6%,12,5.5%,13,61.0,512,3499,15,3587,21,1,5,11,64.5%,9/191,6,3.1
C. Newton,CAR,11,630,8,855,12,7.6%,8,14.3%,11,61.4,526,3558,16,3567,35,0,1,10,60.0%,3/64,7,3.0
D. Carr,OAK,12,582,17,428,13,4.1%,18,0.1%,33,43.1,603,3763,11,3871,32,3,1,13,61.3%,8/165,26,0.7
R.  Fitzpatrick,NYJ,13,542,10,670,14,3.5%,10,7.0%,10,62.0,583,3779,13,3714,31,2,2,15,59.6%,4/88,5,3.1
T. Taylor,BUF,14,536,16,486,8,9.8%,9,7.9%,8,66.3,417,2810,22,2790,20,5,1,6,63.7%,3/98,3,4.0
A. Smith,KC,15,468,19,359,15,3.0%,19,-0.3%,12,61.1,516,3243,19,3303,20,2,0,7,65.5%,4/90,37,-3.4
J. Winston,TB,16,467,15,495,16,2.1%,16,2.9%,20,57.2,560,3828,18,3480,22,2,1,15,58.9%,6/153,20,1.2
A. Rodgers,GB,17,406,20,258,17,-1.0%,21,-4.7%,14,60.0,617,3489,12,3802,31,4,4,8,60.9%,14/364,4,3.5
E. Manning,NYG,18,404,14,535,19,-1.9%,17,1.1%,17,57.9,646,4225,9,4063,35,5,3,14,62.9%,13/192,24,1.1
M. Ryan,ATL,19,389,11,669,18,-1.9%,13,4.8%,9,64.1,647,4372,10,3911,21,6,5,15,66.4%,6/74,30,0.6
B. Hoyer,HOU,20,201,18,372,20,-3.0%,15,3.9%,24,52.8,394,2400,24,2266,19,4,2,5,61.0%,1/10,11,2.5
