id,player,team,opponent,position,salary,ownership
96628-70027,Zack Moss,IND,TEN,RB,5600,45.7
96628-72846,A.J. Brown,PHI,SF,WR,8400,25.0
96628-137902,Rachaad White,TB,CAR,RB,7500,23.2
96628-53681,Tyreek Hill,MIA,WAS,WR,10000,23.0
96628-55335,David Njoku,CLE,LAR,TE,5600,21.6
96628-90573,Jaylen Waddle,MIA,WAS,WR,7800,21.0
96628-93541,Javonte Williams,DEN,HOU,RB,6600,17.7
96628-120093,Marvin Mims,DEN,HOU,WR,4800,17.2
96628-12538,Los Angeles Rams,LAR,CLE,D,3700,17.1
96628-129291,Tank Dell,HOU,DEN,WR,8200,17.1
96628-39793,George Kittle,SF,PHI,TE,7400,16.1
96628-90572,Tua Tagovailoa,MIA,WAS,QB,8400,16.1
96628-57403,Courtland Sutton,DEN,HOU,WR,6900,15.9
96628-111876,Demario Douglas,NE,LAC,WR,6200,15.5
96628-55050,Christian McCaffrey,SF,PHI,RB,9800,15.4
96628-103064,Breece Hall,NYJ,ATL,RB,6700,15.1
96628-22015,Russell Wilson,DEN,HOU,QB,7400,14.5
96628-29253,Keenan Allen,LAC,NE,WR,9000,12.4
96628-129471,C.J. Stroud,HOU,DEN,QB,8000,12.1
96628-129368,Jahmyr Gibbs,DET,NO,RB,7700,11.7
96628-12525,Atlanta Falcons,ATL,NYJ,D,4700,11.3
96628-91419,Nico Collins,HOU,DEN,WR,7600,11.1
96628-42104,Alvin Kamara,NO,DET,RB,8300,10.8
96628-110246,George Pickens,PIT,ARI,WR,6600,10.6
96628-16606,DeAndre Hopkins,TEN,IND,WR,7000,10.4
96628-69213,Michael Pittman Jr.,IND,TEN,WR,7900,10.3
96628-12556,Houston Texans,HOU,DEN,D,3500,10.0
96628-136855,Bijan Robinson,ATL,NYJ,RB,8100,9.9
96628-112057,Jaylen Warren,PIT,ARI,RB,6500,9.8
96628-86997,Amon-Ra St. Brown,DET,NO,WR,8500,9.8
96628-90576,DeVonta Smith,PHI,SF,WR,7700,9.2
96628-90533,Jerome Ford,CLE,LAR,RB,6400,9.0
96628-104433,Kyren Williams,LAR,CLE,RB,8500,8.9
96628-80001,Austin Ekeler,LAC,NE,RB,8000,8.6
96628-39280,Derrick Henry,TEN,IND,RB,8200,8.5
96628-111540,Rhamondre Stevenson,NE,LAC,RB,7300,8.3
96628-32384,Mike Evans,TB,CAR,WR,8300,8.2
96628-26355,Logan Thomas,WAS,MIA,TE,5200,7.8
96628-38435,Jared Goff,DET,NO,QB,7600,7.7
96628-69531,Jalen Hurts,PHI,SF,QB,9000,7.7
96628-85607,Brock Purdy,SF,PHI,QB,7800,7.7
96628-55552,Jeff Wilson Jr.,MIA,WAS,RB,5500,7.6
96628-40687,James Conner,ARI,PIT,RB,6300,7.5
96628-66008,Diontae Johnson,PIT,ARI,WR,6800,6.9
96628-12529,Cleveland Browns,CLE,LAR,D,4100,6.8
96628-91750,Trey McBride,ARI,PIT,TE,6700,6.8
96628-39716,Adam Thielen,CAR,TB,WR,7000,6.6
96628-90575,Najee Harris,PIT,ARI,RB,7200,6.5
96628-87467,Chuba Hubbard,CAR,TB,RB,6200,6.4
96628-12551,Tampa Bay Buccaneers,TB,CAR,D,4800,6.3
96628-41535,Baker Mayfield,TB,CAR,QB,6800,6.2
96628-129305,Josh Downs,IND,TEN,WR,6100,6.1
96628-56250,Terry McLaurin,WAS,MIA,WR,6700,6.1
96628-12544,New York Jets,NYJ,ATL,D,4400,5.7
96628-86687,Marquise Brown,ARI,PIT,WR,6800,5.7
96628-12549,San Francisco 49ers,SF,PHI,D,4200,5.6
96628-28744,Raheem Mostert,MIA,WAS,RB,8400,5.5
96628-12535,Indianapolis Colts,IND,TEN,D,4500,5.5
96628-85798,Brandon Aiyuk,SF,PHI,WR,8000,5.4
96628-56018,Deebo Samuel,SF,PHI,WR,7300,5.3
96628-69189,Justin Herbert,LAC,NE,QB,8200,5.1
96628-103564,Garrett Wilson,NYJ,ATL,WR,6900,5.0
96628-104576,Sam Howell,WAS,MIA,QB,7500,5.0
96628-45565,Taysom Hill,NO,DET,TE,6500,4.9
96628-12553,Carolina Panthers,CAR,TB,D,3200,4.9
96628-105646,Sam LaPorta,DET,NO,TE,7000,4.8
96628-79970,Cooper Kupp,LAR,CLE,WR,7100,4.8
96628-55042,Dalton Schultz,HOU,DEN,TE,6200,4.7
96628-73273,David Montgomery,DET,NO,RB,7800,4.6
96628-12548,Los Angeles Chargers,LAC,NE,D,4600,4.5
96628-70603,Devin Singletary,HOU,DEN,RB,7000,4.4
96628-103020,Puka Nacua,LAR,CLE,WR,7200,4.3
96628-69558,Greg Dortch,ARI,PIT,WR,5200,4.3
96628-12539,Miami Dolphins,MIA,WAS,D,5000,4.3
96628-12532,Detroit Lions,DET,NO,D,4300,4.0
96628-63484,Kyler Murray,ARI,PIT,QB,7700,4.0
96628-91598,D'Andre Swift,PHI,SF,RB,6700,3.9
96628-12547,Pittsburgh Steelers,PIT,ARI,D,4900,3.9
96628-12541,New England Patriots,NE,LAC,D,3900,3.9
96628-88575,Elijah Moore,CLE,LAR,WR,6000,3.7
96628-112745,Drake London,ATL,NYJ,WR,6500,3.7
96628-90562,Brian Robinson Jr.,WAS,MIA,RB,6800,3.5
96628-52613,Curtis Samuel,WAS,MIA,WR,6200,3.3
96628-86229,Jahan Dotson,WAS,MIA,WR,5900,3.1
96628-52495,Braxton Berrios,MIA,WAS,WR,4700,3.1
96628-83074,Dallas Goedert,PHI,SF,TE,5500,3.0
96628-55635,Chris Godwin,TB,CAR,WR,6300,2.9
96628-45859,Derek Carr,NO,DET,QB,7000,2.8
96628-92020,Kenny Pickett,PIT,ARI,QB,6700,2.6
96628-31001,Amari Cooper,CLE,LAR,WR,6700,2.5
96628-61798,Gardner Minshew,IND,TEN,QB,6800,2.4
96628-56248,Noah Brown,HOU,DEN,WR,6400,2.4
96628-111631,Jameson Williams,DET,NO,WR,5200,2.4
96628-64843,Jalen Guyton,LAC,NE,WR,5300,2.4
96628-64808,Juwan Johnson,NO,DET,TE,4900,2.3
96628-86243,Will Levis,TEN,IND,QB,6600,2.2
96628-86244,Pat Freiermuth,PIT,ARI,TE,5800,2.2
96628-12546,Arizona Cardinals,ARI,PIT,D,3100,2.1
96628-88297,Chig Okonkwo,TEN,IND,TE,4800,2.0
96628-86811,Cade Otton,TB,CAR,TE,5100,2.0
96628-40845,Hunter Henry,NE,LAC,TE,5100,2.0
96628-87621,A.T. Perry,NO,DET,WR,5700,1.9
96628-86080,Kyle Pitts,ATL,NYJ,TE,5300,1.9
96628-60451,Tyler Conklin,NYJ,ATL,TE,4900,1.9
96628-57299,Gerald Everett,LAC,NE,TE,5000,1.9
96628-47870,Tyler Higbee,LAR,CLE,TE,5400,1.8
96628-110259,Treylon Burks,TEN,IND,WR,5000,1.7
96628-107293,Tyjae Spears,TEN,IND,RB,4900,1.7
96628-42046,Durham Smythe,MIA,WAS,TE,4600,1.7
96628-48116,Jonnu Smith,ATL,NYJ,TE,5000,1.6
96628-45229,Kareem Hunt,CLE,LAR,RB,5800,1.6
96628-12534,Tennessee Titans,TEN,IND,D,3400,1.6
96628-6654,Matthew Stafford,LAR,CLE,QB,6900,1.6
96628-90561,Jerry Jeudy,DEN,HOU,WR,6000,1.6
96628-90933,Antonio Gibson,WAS,MIA,RB,5300,1.5
96628-71845,Miles Sanders,CAR,TB,RB,5600,1.5
96628-102902,Trey Palmer,TB,CAR,WR,5200,1.5
96628-104278,Donald Parham,LAC,NE,TE,4800,1.5
96628-112192,Jonathan Mingo,CAR,TB,WR,5400,1.5
96628-12545,Philadelphia Eagles,PHI,SF,D,3800,1.4
96628-87122,Lynn Bowden Jr.,NO,DET,WR,5200,1.4
96628-86055,Dameon Pierce,HOU,DEN,RB,5900,1.4
96628-92976,Tutu Atwell,LAR,CLE,WR,5800,1.4
